sub_id,group_id,t1_01,t1_02,t1_03,t1_04,t1_05,t1_06,t1_07,t1_08,t1_09,t1_10,t1_11,t1_12,t1_13,t1_14,t1_15,t1_16,t1_17,t1_18,t1_19,t1_20,t1_21,t1_22,t2_01,t2_02,t2_03,t2_04,t2_05,t2_06,t2_07,t2_08,t2_09,t2_10,t2_11,t2_12,t2_13,t2_14,t2_15,t2_16,t2_17,t2_18,t2_19,t2_20,t2_21,t2_22,t3_01,t3_02,t3_03,t3_04,t3_05,t3_06,t3_07,t3_08,t3_09,t3_10,t3_11,t3_12,t3_13,t3_14,t3_15,t3_16,t3_17,t3_18,t3_19,t3_20,t3_21,t3_22
s101,1,4,6,4,5,3,5,4,6,1,5,7,6,5,2,4,6,3,3,2,2,7,3,5,6,5,5,4,5,4,6,3,4,7,6,5,5,4,5,4,3,4,3,7,4,5,5,5,5,4,4,3,6,3,5,6,5,5,6,4,4,5,4,5,3,7,3
s102,1,5,7,4,5,1,6,2,6,4,7,7,7,6,4,6,6,5,4,3,3,7,4,2,7,4,6,4,6,4,7,5,6,7,7,6,6,6,7,4,5,4,5,7,6,4,7,5,6,5,6,4,7,5,5,7,7,6,5,5,7,3,5,4,5,7,5
s103,1,1,7,3,3,1,4,1,5,1,5,6,7,5,2,3,5,1,5,1,1,7,1,3,7,2,3,3,4,2,5,2,4,7,7,5,3,3,5,4,3,2,2,7,5,3,7,2,3,2,3,2,5,2,4,7,7,5,2,2,4,2,3,2,2,7,5
s104,1,4,7,7,4,2,2,2,4,2,5,4,7,4,3,2,4,2,3,4,1,7,1,4,7,4,3,3,3,3,5,2,3,6,7,4,3,4,3,3,4,4,3,7,2,4,7,4,3,3,3,4,4,3,4,4,7,4,3,5,3,4,5,4,3,7,2
s105,1,7,1,7,6,7,7,7,7,5,6,6,7,7,6,7,7,7,7,7,6,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,3,7,7,7,7,6,7,6,7,7,7,7,6,6,7,7,7,7,6,7,7
s106,1,2,7,4,2,1,3,2,5,2,2,5,7,4,1,2,3,2,2,1,2,7,1,1,7,3,3,1,3,1,5,1,1,6,7,3,2,2,4,2,2,1,1,7,2,1,5,2,2,1,3,1,6,1,2,6,7,3,2,1,3,1,2,1,1,7,2
s107,1,7,7,6,6,2,4,1,6,3,5,7,7,6,7,4,5,1,5,1,5,7,4,1,7,6,6,6,6,1,7,5,7,7,7,6,6,4,6,1,6,1,5,7,4,1,7,6,6,5,5,1,4,5,4,6,7,4,5,3,5,1,4,1,5,7,1
s108,1,2,7,4,3,4,4,1,6,1,5,6,7,5,4,3,5,1,2,2,2,7,4,2,7,3,3,3,4,2,6,2,5,6,7,4,5,7,5,2,3,2,2,7,4,2,7,4,3,3,4,2,5,2,6,6,7,5,4,5,5,2,3,2,2,7,4
s109,1,4,7,5,5,3,4,6,6,4,4,6,6,5,5,6,6,6,4,6,3,6,3,5,7,6,5,4,5,7,6,3,5,7,6,6,5,6,5,5,6,7,3,5,4,5,6,6,4,5,5,6,6,4,5,6,6,4,3,5,5,6,6,5,3,5,4
s110,1,6,7,7,6,2,6,4,7,4,5,7,7,7,5,5,7,6,6,6,4,7,5,6,7,6,6,2,5,6,6,6,6,7,7,6,7,6,6,7,7,6,6,7,5,6,7,6,6,6,6,5,7,5,6,7,7,6,6,5,6,6,5,5,5,7,5
s111,1,6,7,7,7,1,5,1,7,3,6,7,7,7,4,3,7,5,6,3,4,7,2,2,7,7,7,1,7,1,7,5,7,7,7,7,7,7,7,2,7,1,7,7,5,2,7,7,7,2,7,1,7,6,7,7,7,7,7,7,7,2,7,1,6,7,5
s112,1,7,7,7,2,5,4,2,4,2,6,7,7,6,7,2,6,5,7,7,2,7,4,7,7,7,5,7,6,3,6,5,6,7,7,7,7,7,7,7,7,7,6,7,5,7,7,7,6,7,6,2,6,5,7,7,7,7,7,7,7,7,7,7,5,7,5
s113,1,3,7,6,6,2,6,1,7,2,5,7,7,6,4,5,6,2,5,2,3,7,6,3,7,6,6,5,6,4,7,5,6,7,7,7,6,6,6,5,5,4,5,7,6,2,7,6,6,4,5,2,7,4,5,6,7,6,5,4,6,2,6,2,5,7,6
s114,1,6,7,6,4,3,2,5,4,2,5,3,7,3,6,5,2,7,7,6,2,7,1,7,7,6,2,3,4,5,6,5,4,3,7,4,6,3,4,6,6,6,3,7,2,6,7,6,2,2,3,6,4,3,4,3,7,4,6,3,4,6,6,6,4,7,2
s115,1,5,7,5,5,3,5,3,5,2,4,5,7,5,4,3,5,5,5,3,1,7,2,5,7,5,5,5,6,5,6,4,5,6,7,6,6,4,5,5,4,4,4,7,3,4,7,4,5,4,4,3,6,4,5,6,7,5,5,4,5,4,4,4,4,7,3
s116,1,5,4,4,5,4,6,4,5,2,5,7,7,6,4,4,6,5,5,5,2,7,4,6,5,6,6,6,7,6,7,4,6,7,7,7,5,7,7,6,5,6,5,7,6,5,5,5,6,6,7,4,6,4,6,6,7,6,5,5,6,5,5,6,4,7,7
s117,1,7,7,7,4,4,5,1,5,3,5,6,7,6,5,7,7,7,6,1,4,7,1,3,7,7,5,3,5,2,6,4,5,7,7,5,4,4,5,3,5,2,5,7,3,4,7,4,4,4,5,3,6,4,4,6,7,4,4,4,5,4,5,2,4,7,2
s118,1,4,7,4,4,4,4,2,5,2,4,6,7,5,3,4,6,3,3,2,2,6,3,4,4,4,3,3,4,2,5,2,3,5,6,4,3,3,4,2,3,3,2,6,2,4,6,5,4,4,3,3,5,2,4,6,6,4,3,3,4,2,2,3,2,6,2
s119,1,5,7,6,5,7,7,4,7,6,7,7,6,7,6,7,7,4,6,6,6,7,6,5,7,5,6,6,7,2,6,6,6,6,6,7,7,7,7,3,6,6,6,7,6,6,7,5,5,6,6,2,7,6,6,7,7,6,6,7,7,6,6,6,6,7,4
s120,1,6,7,5,6,6,6,6,6,4,6,6,6,6,3,5,6,5,5,5,4,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,6,6,5,5,6,5,6,6
s121,1,5,4,5,6,5,4,4,5,1,4,6,6,6,3,3,6,6,5,6,3,6,2,4,6,5,5,4,5,4,6,3,6,6,6,6,4,5,6,6,5,5,4,5,5,5,5,5,6,5,5,4,5,3,5,6,6,6,5,5,6,5,5,5,3,6,5
s122,1,4,6,3,4,3,5,3,6,5,5,7,5,4,4,4,5,3,6,3,5,5,1,5,6,5,3,3,3,5,6,4,3,6,5,3,6,2,4,5,6,4,4,6,2,5,6,4,2,3,5,3,6,4,4,6,7,3,6,4,4,4,6,4,5,6,1
s123,1,6,7,7,5,3,4,3,6,3,5,7,7,6,5,7,7,5,5,4,3,7,5,5,7,6,5,3,6,3,7,5,7,7,7,7,6,7,7,4,6,3,5,7,5,4,7,7,5,4,6,3,7,5,6,7,7,7,6,7,7,3,6,3,5,7,5
s124,1,6,7,6,6,5,6,6,6,5,5,6,7,6,5,4,5,5,5,5,4,7,5,5,7,6,5,5,5,5,6,4,6,2,6,6,6,5,6,5,5,5,4,6,6,5,7,5,5,6,5,4,6,5,5,5,6,6,6,5,6,5,5,5,5,6,5
s125,1,6,5,6,6,7,6,5,6,5,6,6,7,6,6,6,7,6,6,6,5,7,6,6,6,6,6,6,6,6,7,6,6,7,7,6,6,7,6,6,6,7,6,6,6,6,6,6,7,6,6,6,6,5,5,6,7,6,6,6,6,6,6,5,5,7,6
s126,1,5,5,6,6,5,7,7,4,2,5,5,7,5,5,5,6,5,6,6,2,7,4,5,5,7,5,5,5,6,4,4,5,5,7,5,6,5,5,4,6,6,3,7,4,5,5,6,4,5,5,5,4,3,5,6,7,6,5,6,5,5,6,5,3,7,4
s127,1,7,7,7,6,2,6,7,7,2,6,7,7,7,4,4,7,6,6,7,4,7,6,7,7,7,7,5,7,6,7,2,7,7,7,7,3,5,7,6,5,6,3,7,7,7,7,7,6,3,7,6,7,3,6,7,7,7,5,6,7,6,5,6,3,7,6
s128,1,7,7,7,4,4,5,1,4,3,7,7,7,6,4,4,6,6,7,3,3,7,1,7,7,7,4,6,6,3,6,3,6,7,7,6,5,5,7,7,6,4,3,7,3,7,7,6,3,4,6,2,6,4,5,7,7,6,4,5,6,5,6,3,4,7,2
s129,1,5,7,6,4,3,4,6,5,3,5,5,6,5,4,4,6,5,4,5,4,7,4,6,7,5,6,5,6,5,6,5,6,6,6,6,6,5,6,6,6,5,5,7,4,5,6,5,5,6,5,1,3,6,2,2,6,5,5,6,5,5,4,5,7,7,4
s130,1,4,5,6,7,3,6,4,6,5,6,5,6,6,6,5,6,4,5,3,5,6,5,5,5,5,6,5,6,6,6,5,6,4,7,6,6,6,6,5,6,6,6,6,6,5,5,5,6,4,6,5,5,4,6,4,6,6,5,6,6,5,5,5,5,6,6
s131,1,4,6,4,6,7,4,6,5,2,7,6,7,7,6,4,7,5,6,4,2,7,3,5,6,4,6,7,6,5,6,1,7,6,7,7,5,5,7,4,5,4,1,7,3,4,6,4,6,6,7,5,6,1,7,6,7,7,5,5,7,4,5,5,1,7,3
s132,1,7,7,4,6,4,6,4,7,3,6,6,7,7,3,5,7,5,4,6,3,7,4,6,7,5,7,4,6,4,7,2,5,5,7,7,4,6,7,5,3,6,3,7,5,6,7,5,6,4,6,5,7,3,6,5,6,7,3,6,7,6,4,5,3,7,6
s133,1,4,7,5,5,6,6,5,6,3,5,7,7,7,5,7,6,7,5,4,4,6,6,4,7,5,6,6,6,6,7,5,7,7,7,7,6,6,6,6,5,5,5,6,7,6,7,6,7,6,6,6,7,5,7,7,7,7,6,5,7,6,6,6,5,7,7
s134,1,5,7,4,3,2,4,1,5,3,4,6,6,5,4,3,5,4,6,4,4,7,4,3,7,4,3,2,5,3,5,3,4,7,7,6,3,4,6,3,4,3,3,7,4,2,7,3,4,2,4,1,5,3,5,5,7,4,4,3,4,2,4,3,3,7,4
s135,1,7,7,5,1,1,2,1,1,2,1,6,7,1,2,1,1,5,3,4,2,7,1,5,7,4,1,2,1,4,2,2,1,4,7,1,2,1,1,4,4,4,2,7,1,2,7,4,1,1,1,2,1,2,1,2,7,1,2,7,1,2,2,3,2,7,1
s136,1,3,5,6,5,5,5,3,5,1,4,7,7,6,3,4,6,4,2,2,1,7,3,3,6,5,6,4,5,3,6,1,5,6,7,5,4,5,6,3,1,2,1,7,4,3,6,4,5,4,5,3,6,1,5,5,7,5,3,5,6,3,1,3,2,7,3
s137,1,3,6,5,3,1,5,1,5,4,4,6,7,6,5,4,5,2,5,2,5,7,3,4,6,4,5,2,5,1,3,4,5,5,7,5,4,5,5,1,3,1,3,7,4,2,7,3,4,2,5,1,4,2,4,6,7,4,3,7,4,2,3,1,2,7,3
s138,1,5,6,3,4,1,3,1,7,2,2,7,5,5,4,3,6,5,5,3,2,7,3,5,4,4,3,5,4,2,6,3,4,7,7,5,6,4,5,4,5,4,3,7,3,5,5,5,4,4,5,2,6,3,4,6,6,5,5,4,5,3,5,4,3,7,4
s139,1,4,7,5,5,4,3,2,5,2,3,7,7,3,6,3,3,2,4,3,2,7,3,3,7,5,4,4,3,2,5,3,4,7,7,3,6,2,3,3,7,1,3,7,1,3,7,5,3,3,3,2,6,4,5,7,7,4,6,7,5,2,6,1,4,7,3
s140,1,7,7,7,3,1,5,4,7,2,5,7,7,5,4,4,6,7,6,4,3,7,3,7,7,7,4,2,5,6,5,2,5,4,7,6,5,5,5,3,5,4,2,7,3,7,7,5,5,4,5,4,6,3,5,6,7,5,4,4,5,5,5,4,2,7,3
s141,1,4,7,4,5,4,5,3,6,2,5,6,6,5,5,5,5,4,4,3,3,6,4,4,7,4,4,5,3,3,6,3,5,6,6,5,4,5,4,5,4,4,4,6,4,3,6,4,5,5,6,4,6,3,4,6,6,5,4,5,6,5,4,3,5,6,4
s142,1,7,7,6,6,6,6,6,6,4,5,2,7,5,5,6,5,6,5,5,5,7,5,4,7,4,6,4,5,4,6,5,5,5,7,6,6,5,6,3,6,3,6,7,5,4,7,4,6,4,6,3,6,5,6,4,7,6,5,6,6,4,6,4,6,7,5
s143,1,4,7,6,4,3,4,3,6,1,4,6,7,6,3,5,5,4,3,3,1,7,3,4,7,6,5,5,6,3,7,2,5,7,7,6,3,6,6,4,3,2,3,7,3,4,7,4,5,4,4,3,6,2,4,5,7,5,3,4,5,3,3,3,2,7,3
s144,1,6,7,6,6,5,7,2,6,3,6,6,7,7,6,6,7,6,6,6,3,7,6,6,7,5,7,5,7,3,7,3,7,6,7,7,6,5,7,6,5,3,3,7,6,6,7,4,6,5,7,4,6,3,6,5,7,6,5,6,7,6,5,5,3,7,6
s145,1,5,7,5,5,4,5,4,4,3,4,5,6,5,5,4,4,4,5,4,4,7,3,4,6,5,4,4,5,4,4,3,4,4,6,4,5,5,5,5,5,4,4,6,3,4,6,4,3,3,3,3,4,3,4,4,4,4,4,4,4,3,4,3,4,5,3
s146,1,3,6,5,4,2,5,5,7,3,4,7,7,6,4,5,6,4,5,5,3,7,3,5,6,6,5,4,5,3,6,5,3,6,6,5,5,4,7,5,6,5,5,7,5,5,5,5,6,3,6,3,7,5,5,5,6,6,4,6,7,5,6,3,6,7,4
s147,1,7,7,7,4,6,5,1,4,3,4,7,7,6,3,4,4,5,4,7,3,7,2,7,7,5,3,6,3,1,4,3,4,6,5,3,5,5,3,7,6,7,3,6,3,7,7,5,3,6,4,1,4,4,4,6,6,3,4,4,3,6,5,6,4,6,3
s148,1,7,7,7,5,5,6,2,5,3,4,3,7,7,5,4,7,5,5,7,3,7,5,5,7,5,6,5,6,3,5,3,5,5,7,6,5,5,6,6,3,6,3,7,6,5,7,5,5,5,6,2,6,3,4,5,7,6,5,4,6,4,3,4,3,7,3
s149,1,6,4,6,5,3,6,2,4,5,5,7,7,6,6,6,7,2,6,2,5,7,4,2,2,6,6,4,6,1,7,6,5,7,7,6,6,6,6,1,6,2,6,7,2,2,2,6,6,2,7,3,6,6,4,7,7,6,7,4,6,2,6,4,6,7,2
s150,1,6,7,5,5,4,4,3,6,2,4,6,7,5,2,3,6,5,4,5,2,7,3,4,7,6,5,2,5,4,7,4,4,7,7,6,6,4,7,6,5,4,4,7,4,5,4,6,4,2,5,3,6,3,3,6,6,5,5,3,5,5,5,5,4,7,4
s151,1,7,7,6,5,2,5,5,4,2,6,5,7,6,2,4,6,4,3,4,2,7,3,5,6,5,4,3,4,2,4,2,6,6,6,5,4,4,4,5,3,4,3,6,3,4,6,4,3,2,5,1,4,3,6,6,6,4,3,4,4,2,3,2,2,6,3
s152,1,5,5,5,6,4,6,4,6,3,5,3,6,6,4,5,6,5,5,6,3,6,5,5,2,6,6,5,6,5,6,3,5,5,6,6,4,5,6,5,4,6,3,6,5,5,3,6,6,5,6,5,5,3,5,5,6,6,5,6,5,5,4,5,3,6,5
s153,1,5,7,4,5,4,4,2,3,2,4,6,6,3,3,3,4,2,4,2,2,6,2,5,6,5,5,3,5,3,6,3,6,5,6,5,5,5,6,4,4,4,3,6,3,3,6,4,5,3,6,4,5,3,6,5,6,4,4,5,5,4,4,3,3,6,3
s154,1,7,7,6,5,6,5,2,7,3,5,7,7,6,5,5,6,6,3,5,2,7,3,6,7,5,5,5,6,2,6,4,5,7,7,6,5,5,6,6,4,5,4,7,5,5,7,5,5,6,5,2,6,4,4,7,7,6,5,6,6,4,4,5,4,7,3
s155,1,6,7,7,5,2,6,2,6,2,5,7,7,5,4,4,6,6,3,5,2,7,5,5,7,5,5,1,5,1,7,3,7,7,7,6,6,6,6,5,5,5,3,7,5,5,7,5,6,4,6,2,7,3,6,7,7,7,5,5,6,5,4,5,3,7,5
s156,1,6,6,5,3,4,5,2,6,4,6,7,7,6,5,4,5,4,5,4,3,7,2,4,7,4,3,2,5,2,6,2,5,6,7,5,4,6,6,4,4,3,4,7,3,5,6,4,4,3,5,2,6,2,7,6,7,6,5,7,6,4,4,3,3,7,2
s157,1,2,6,5,4,1,4,1,4,2,5,6,7,4,2,3,4,2,3,2,2,7,2,2,7,4,4,1,4,1,5,2,6,6,7,4,3,3,4,2,4,2,3,7,2,2,6,4,4,2,4,2,6,3,6,7,7,4,4,3,5,2,4,2,3,7,3
s158,1,6,7,6,4,1,1,4,5,2,2,4,7,3,3,2,2,4,4,6,2,7,2,7,7,6,4,1,2,4,5,3,2,4,6,4,4,3,4,6,6,5,3,7,4,5,6,6,3,2,2,5,5,2,2,4,6,3,4,5,4,6,6,5,3,7,3
s159,1,6,5,6,7,5,6,6,7,4,5,5,6,6,5,5,6,5,5,6,4,7,5,6,3,6,7,5,6,6,6,5,6,6,6,7,5,6,6,6,5,6,5,6,5,6,4,5,6,5,6,6,5,4,5,4,6,5,5,5,6,5,4,5,5,6,5
s160,1,7,7,4,5,6,7,6,7,3,5,7,7,7,3,6,7,7,4,6,3,7,4,7,7,4,6,6,7,7,7,4,6,7,7,7,4,6,7,7,3,5,4,7,6,7,7,4,6,6,7,7,7,3,5,7,7,6,5,6,7,6,3,6,3,7,5
s161,1,4,5,4,3,2,5,2,6,2,4,5,4,5,3,3,4,3,4,2,2,3,1,3,5,2,4,3,4,3,6,2,4,5,4,4,5,4,4,3,4,3,3,4,3,4,5,3,4,3,4,3,6,2,3,5,4,4,5,4,4,2,3,2,3,3,3
s162,1,2,7,7,5,2,6,1,6,3,3,6,7,6,6,4,7,2,6,1,4,7,4,4,7,7,7,5,7,3,7,3,3,7,7,7,7,4,7,4,7,2,4,7,5,3,7,7,6,4,7,2,7,3,3,7,7,7,7,3,7,1,7,1,4,7,5
s163,1,2,7,3,4,3,6,2,5,2,6,6,6,7,3,4,7,2,3,2,3,7,6,3,6,4,6,6,7,5,6,3,6,6,6,7,4,4,7,3,4,3,3,7,6,3,6,4,6,4,6,3,6,3,6,5,6,6,5,3,7,4,3,3,3,7,6
s164,1,5,5,5,4,4,4,3,4,4,5,6,7,3,5,4,2,5,6,3,4,7,3,4,5,5,4,4,3,3,3,4,5,6,7,3,6,5,4,4,6,4,4,7,3,4,5,6,4,4,3,4,4,5,5,5,7,3,6,5,4,4,7,6,5,7,3
s165,1,4,7,5,6,4,7,1,7,4,4,7,5,6,4,4,5,1,4,1,4,4,6,1,7,7,6,6,4,2,6,4,4,7,5,5,4,4,5,4,4,2,4,6,3,2,4,4,5,3,4,3,4,4,4,6,5,5,4,4,4,3,4,3,4,4,3
s166,1,4,7,6,5,2,4,3,6,2,5,6,7,6,4,6,7,4,7,5,2,7,5,4,7,6,6,3,5,3,7,3,6,7,7,6,6,5,7,4,6,4,5,7,5,5,7,5,5,4,5,5,7,5,5,7,7,6,6,6,6,5,7,4,4,7,4
s167,1,6,7,5,5,4,7,2,5,5,5,6,5,6,6,5,7,3,5,4,5,7,5,5,6,6,4,4,5,3,6,5,4,7,7,5,6,5,6,5,6,5,5,6,5,5,6,5,4,4,5,4,5,5,5,5,6,6,5,4,6,3,6,5,5,7,5
s168,1,7,7,6,6,6,4,6,5,1,5,5,6,5,5,4,5,6,5,6,1,7,5,7,7,7,6,6,5,7,5,3,4,5,7,4,5,7,4,7,6,7,3,7,4,7,7,6,4,5,3,5,5,3,4,4,7,4,6,6,4,6,6,7,3,7,4
s169,1,7,6,5,2,2,3,7,3,3,4,5,7,4,3,3,4,7,4,7,3,7,2,5,3,7,2,2,3,2,5,3,4,3,7,4,4,3,3,3,4,2,4,7,2,4,5,5,2,3,2,3,3,3,4,4,7,3,4,4,3,2,4,3,4,7,2
s170,1,6,4,6,5,3,4,5,4,4,4,5,6,4,4,5,5,6,5,5,5,7,4,6,5,6,4,5,5,4,5,4,4,6,6,5,6,5,5,5,6,6,5,7,4,5,5,5,4,4,5,3,5,4,4,5,6,4,5,4,4,5,5,5,5,6,5
s171,1,3,7,3,4,2,5,2,6,4,5,7,7,5,2,3,6,2,6,2,5,5,3,2,5,6,5,3,4,2,6,3,4,6,5,4,6,4,5,2,4,2,3,6,3,2,7,5,5,3,3,2,7,4,4,6,6,5,5,3,5,2,3,2,5,6,3
s172,1,7,7,7,6,1,6,1,6,1,4,7,7,5,2,4,6,7,5,7,1,7,2,7,7,7,5,2,5,2,6,3,4,4,7,4,3,4,6,7,7,7,3,7,2,7,7,6,4,3,4,2,4,2,7,4,7,4,4,4,4,7,6,7,2,7,3
s173,1,5,6,7,5,3,5,1,5,5,3,1,6,4,4,6,6,5,5,5,3,7,4,7,6,6,6,3,6,7,6,3,7,6,7,7,5,7,7,7,6,7,3,7,4,7,6,6,6,5,6,7,6,4,7,6,7,6,5,6,6,7,5,7,4,7,5
s174,1,5,6,7,6,7,5,7,7,1,6,7,7,6,5,5,6,6,7,5,1,7,5,7,6,7,6,6,5,6,6,2,5,7,7,6,3,5,5,6,6,7,2,7,5,7,7,6,5,5,5,6,7,3,5,7,7,6,5,5,6,6,7,7,3,7,5
s175,1,4,6,7,7,5,4,1,5,1,5,4,7,4,3,6,4,1,5,4,3,7,1,4,6,3,7,2,2,3,4,3,7,5,7,3,3,4,3,4,4,5,4,7,1,3,7,4,4,2,2,3,5,3,7,2,7,3,4,3,4,4,4,4,4,7,2
s176,1,6,6,6,7,5,5,4,5,2,5,7,7,7,4,5,5,4,5,6,3,7,5,6,2,6,3,3,5,3,5,2,7,5,7,3,3,4,5,5,5,6,3,7,6,6,3,7,4,4,3,5,3,3,5,6,7,4,5,3,4,5,5,6,3,7,6
